id,instituto,puntos,carrera
1,1,8,"Ingeniería Electromecánica"
2,1,2,"Ingeniería en Informática"
3,1,3,"Ingeniería en Sistemas Computacionales"
4,1,3,"Ingeniería Industrial"
5,1,8,"Ingeniería en Materiales"
6,1,8,"Maestría en Sistemas Computacionales (Instituto Tecnológico de Zacatecas)"    
7,2,8,"Ingeniería en Electrónica"
8,2,3,"Ingeniería en Sistemas Computacionales "
9,2,6,"Ingeniería Ambiental"
10,2,8,"Ingeniería en Minería"
11,2,2,"Ingeniería en Informática"
12,2,3,"Ingeniería Industrial"    
13,3,3,"Ingeniería en Sistemas Computacionales"
14,3,4,"Ingeniería en Industrias Alimentarias"
15,3,8,"Ingeniería en Mecatrónica"
16,3,5,"Maestría en Ingeniería Administrativa"    
17,4,3,"Ingeniería en Sistemas Computacionales"
18,4,8,"Ingeniería en Mecatrónica"
19,4,3,"Ingeniería Industrial"    
20,5,3,"Ingeniería en Sistemas Computacionales"
21,5,3,"Ingeniería Industrial"
22,5,3,"Ingeniería en Innovación Agrícola Sustentable"    
23,6,3,"Ingeniería en Sistemas Computacionales"
24,6,6,"Ingeniería en Tecnologías de la Información y Comunicaciones"
25,6,4,"Ingeniería en Industrias Alimentarias "
26,6,8,"Ingeniería Electromecánica"    
27,7,3,"Ingeniería en Sistemas Computacionales"
28,7,8,"Ingeniería Electromecánica"
29,7,3,"Ingeniería Industrial"    
30,8,6,"Técnico Superior en Minería"
31,8,2,"Ingeniería  Informática"
32,8,3,"Ingeniería Industrial"
33,8,3,"Ingeniería en Sistemas Computacionales "
34,8,5,"Maestría en Ingeniería Administrativa"    
35,9,6,"Licenciatura en Desarrollo Regional Sustentable"
36,9,3,"Ingeniería en Agronomía"
37,9,6,"Licenciatura en Ciencias Aplicadas"
38,9,6,"Licenciatura En Biología"
39,9,8,"Ingeniero Geólogo"
40,9,8,"Ingeniero Minero Metalurgista"
41,9,6,"Licenciatura en Ciencias Ambientales"
42,9,8,"Ingeniero Químico"
43,9,2,"Química En Alimentos"
44,9,2,"Químico Farmaceutico-Biologo"
45,9,10,"Licenciatura en Física"
46,9,6,"Ingeniería en Electrónica Industrial"
47,9,6,"Ingeniería en Computación"
48,9,6,"Ingeniería en Diseño Industrial"
49,9,8,"Ingeniería en Robótica Y Mecatrónica"
50,9,8,"Ingeniería Electricista"
