id,puntos,instituto
1,3,"Instituto Tecnológico de Zacatecas"
2,3,"Instituto Tecnológico Superior de Fresnillo"
3,3,"Instituto Tecnológico Superior de Jerez"
4,3,"Instituto Tecnológico Superior de Loreto"
5,3,"Instituto Tecnológico Superior de Nochistlán"
6,3,"Instituto Tecnológico Superior Zacatecas Norte"
7,3,"Instituto Tecnológico Superior Zacatecas Sur"
8,3,"Instituto Tecnológico Superior Zacatecas Occidente"
9,4,"Universidad Autónoma de Zacatecas (UAZ)"
10,4,"Universidad Autónoma de Zacatecas, Campus Jalpa"
11,3,"Universidad Politécnica de Zacatecas (UPZ)"
12,3,"Universidad Politécnica del Sur de Zacatecas (UPSZ)"
13,3,"Universidad Tecnológica del Estado de Zacatecas (UTZAC)"
14,3,"Universidad Tecnológica del Estado de Zacatecas (UTZAC), Campus Pinos"
15,5,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas"
16,3,"Instituto Tecnológico de Tlaxiaco"
17,3,"Instituto Tecnológico Superior de Naranjos Veracruz"
18,3,"Instituto Tecnológico de Ciudad Valles"
19,3,"Universidad Autónoma de San Luis Potosi"
20,3,"Universidad Tecnológica del Norte de Aguascalientes"
21,3,"Tecnológico de Estudios Superiores de Jocotitlán"
22,0,"Media Superior"
23,0,"Centro de Actualización del Magisterio"
24,0,"Benemérita Escuela Normal Manuel Ávila Camacho"
25,3,"Universidad Virtual del Estado de Guanajuato"
